"Nationality Code","Nationality","Time Code","Time","Area Code","Area","Both sexes Intra Prefectural","Male Intra Prefectural","Female Intra Prefectural","Both sexes enter the prefecture","Male enter the prefecture","Female enter the prefecture","Both sexes left the prefecture","Male left the prefecture","Female left the prefecture","Both sexes Net Migrations","Male Net Migrations","Female Net Migrations"
"60000","All nationalities","2016001212","Dec. 2016","00000","Japan","199,082","100,410","98,672","135,359","73,444","61,915","135,359","73,444","61,915","0","0","0"
"60000","All nationalities","2016001212","Dec. 2016","01000","Hokkaido","10,077","5,032","5,045","2,375","1,355","1,020","2,374","1,305","1,069","1","50","-49"
"60000","All nationalities","2016001212","Dec. 2016","02000","Aomori-ken","1,009","480","529","803","478","325","962","513","449","-159","-35","-124"
"60000","All nationalities","2016001212","Dec. 2016","03000","Iwate-ken","1,138","570","568","849","470","379","854","438","416","-5","32","-37"
"60000","All nationalities","2016001212","Dec. 2016","04000","Miyagi-ken","4,198","2,098","2,100","2,191","1,249","942","2,103","1,184","919","88","65","23"
"60000","All nationalities","2016001212","Dec. 2016","05000","Akita-ken","556","252","304","499","267","232","574","315","259","-75","-48","-27"
"60000","All nationalities","2016001212","Dec. 2016","06000","Yamagata-ken","866","386","480","665","343","322","701","374","327","-36","-31","-5"
"60000","All nationalities","2016001212","Dec. 2016","07000","Fukushima-ken","1,747","870","877","1,392","838","554","1,633","971","662","-241","-133","-108"
"60000","All nationalities","2016001212","Dec. 2016","08000","Ibaraki-ken","3,335","1,739","1,596","2,916","1,655","1,261","3,112","1,748","1,364","-196","-93","-103"
"60000","All nationalities","2016001212","Dec. 2016","09000","Tochigi-ken","1,706","838","868","1,915","1,087","828","2,157","1,227","930","-242","-140","-102"
"60000","All nationalities","2016001212","Dec. 2016","10000","Gumma-ken","2,105","1,087","1,018","1,840","1,045","795","1,773","985","788","67","60","7"
"60000","All nationalities","2016001212","Dec. 2016","11000","Saitama-ken","10,864","5,482","5,382","11,099","5,911","5,188","9,950","5,409","4,541","1,149","502","647"
"60000","All nationalities","2016001212","Dec. 2016","12000","Chiba-ken","9,272","4,732","4,540","9,207","4,985","4,222","8,824","4,844","3,980","383","141","242"
"60000","All nationalities","2016001212","Dec. 2016","13000","Tokyo-to","35,636","18,175","17,461","25,302","13,321","11,981","24,645","13,185","11,460","657","136","521"
"60000","All nationalities","2016001212","Dec. 2016","14000","Kanagawa-ken","17,631","8,994","8,637","13,162","6,971","6,191","13,278","7,174","6,104","-116","-203","87"
"60000","All nationalities","2016001212","Dec. 2016","15000","Niigata-ken","2,192","1,063","1,129","1,052","603","449","1,239","684","555","-187","-81","-106"
"60000","All nationalities","2016001212","Dec. 2016","16000","Toyama-ken","820","386","434","749","442","307","686","370","316","63","72","-9"
"60000","All nationalities","2016001212","Dec. 2016","17000","Ishikawa-ken","1,055","476","579","834","481","353","916","512","404","-82","-31","-51"
"60000","All nationalities","2016001212","Dec. 2016","18000","Fukui-ken","609","266","343","519","270","249","493","275","218","26","-5","31"
"60000","All nationalities","2016001212","Dec. 2016","19000","Yamanashi-ken","993","510","483","704","412","292","777","418","359","-73","-6","-67"
"60000","All nationalities","2016001212","Dec. 2016","20000","Nagano-ken","2,140","1,041","1,099","1,568","838","730","1,443","763","680","125","75","50"
"60000","All nationalities","2016001212","Dec. 2016","21000","Gifu-ken","2,168","1,028","1,140","1,699","896","803","2,180","1,163","1,017","-481","-267","-214"
"60000","All nationalities","2016001212","Dec. 2016","22000","Shizuoka-ken","4,927","2,630","2,297","2,936","1,717","1,219","3,084","1,767","1,317","-148","-50","-98"
"60000","All nationalities","2016001212","Dec. 2016","23000","Aichi-ken","15,263","8,180","7,083","6,629","3,779","2,850","6,690","3,799","2,891","-61","-20","-41"
"60000","All nationalities","2016001212","Dec. 2016","24000","Mie-ken","1,706","868","838","1,661","971","690","1,724","980","744","-63","-9","-54"
"60000","All nationalities","2016001212","Dec. 2016","25000","Shiga-ken","1,495","762","733","1,606","883","723","1,631","909","722","-25","-26","1"
"60000","All nationalities","2016001212","Dec. 2016","26000","Kyoto-fu","3,849","1,892","1,957","3,057","1,606","1,451","3,172","1,589","1,583","-115","17","-132"
"60000","All nationalities","2016001212","Dec. 2016","27000","Osaka-fu","17,813","9,125","8,688","8,943","4,719","4,224","9,393","4,998","4,395","-450","-279","-171"
