"Nationality Code","Nationality","Time Code","Time","Area Code","Area","Both sexes Intra Prefectural","Male Intra Prefectural","Female Intra Prefectural","Both sexes enter the prefecture","Male enter the prefecture","Female enter the prefecture","Both sexes left the prefecture","Male left the prefecture","Female left the prefecture","Both sexes Net Migrations","Male Net Migrations","Female Net Migrations"
"60000","All nationalities","2013001212","Dec. 2013","00000","Japan","207,595","103,595","104,000","135,790","73,132","62,658","135,790","73,132","62,658","0","0","0"
"60000","All nationalities","2013001212","Dec. 2013","01000","Hokkaido","11,389","5,607","5,782","2,428","1,394","1,034","2,433","1,357","1,076","-5","37","-42"
"60000","All nationalities","2013001212","Dec. 2013","02000","Aomori-ken","1,107","486","621","833","511","322","1,071","595","476","-238","-84","-154"
"60000","All nationalities","2013001212","Dec. 2013","03000","Iwate-ken","1,146","558","588","955","555","400","905","489","416","50","66","-16"
"60000","All nationalities","2013001212","Dec. 2013","04000","Miyagi-ken","4,395","2,129","2,266","2,287","1,289","998","2,143","1,212","931","144","77","67"
"60000","All nationalities","2013001212","Dec. 2013","05000","Akita-ken","661","303","358","625","360","265","694","375","319","-69","-15","-54"
"60000","All nationalities","2013001212","Dec. 2013","06000","Yamagata-ken","1,041","485","556","674","381","293","724","406","318","-50","-25","-25"
"60000","All nationalities","2013001212","Dec. 2013","07000","Fukushima-ken","1,467","708","759","1,555","930","625","1,439","770","669","116","160","-44"
"60000","All nationalities","2013001212","Dec. 2013","08000","Ibaraki-ken","3,542","1,768","1,774","2,701","1,514","1,187","2,985","1,593","1,392","-284","-79","-205"
"60000","All nationalities","2013001212","Dec. 2013","09000","Tochigi-ken","1,862","889","973","1,955","1,093","862","1,878","991","887","77","102","-25"
"60000","All nationalities","2013001212","Dec. 2013","10000","Gumma-ken","2,158","1,023","1,135","1,783","1,023","760","1,680","983","697","103","40","63"
"60000","All nationalities","2013001212","Dec. 2013","11000","Saitama-ken","11,043","5,626","5,417","10,675","5,665","5,010","10,033","5,408","4,625","642","257","385"
"60000","All nationalities","2013001212","Dec. 2013","12000","Chiba-ken","9,510","4,843","4,667","8,672","4,666","4,006","9,067","4,858","4,209","-395","-192","-203"
"60000","All nationalities","2013001212","Dec. 2013","13000","Tokyo-to","36,157","18,365","17,792","25,482","13,239","12,243","23,922","12,656","11,266","1,560","583","977"
"60000","All nationalities","2013001212","Dec. 2013","14000","Kanagawa-ken","17,559","9,144","8,415","13,133","6,918","6,215","13,482","7,343","6,139","-349","-425","76"
"60000","All nationalities","2013001212","Dec. 2013","15000","Niigata-ken","2,437","1,144","1,293","1,085","608","477","1,246","660","586","-161","-52","-109"
"60000","All nationalities","2013001212","Dec. 2013","16000","Toyama-ken","849","365","484","666","378","288","656","353","303","10","25","-15"
"60000","All nationalities","2013001212","Dec. 2013","17000","Ishikawa-ken","1,242","567","675","819","463","356","812","462","350","7","1","6"
"60000","All nationalities","2013001212","Dec. 2013","18000","Fukui-ken","618","297","321","479","262","217","535","305","230","-56","-43","-13"
"60000","All nationalities","2013001212","Dec. 2013","19000","Yamanashi-ken","1,223","575","648","730","420","310","832","427","405","-102","-7","-95"
"60000","All nationalities","2013001212","Dec. 2013","20000","Nagano-ken","2,385","1,161","1,224","1,654","871","783","1,567","853","714","87","18","69"
"60000","All nationalities","2013001212","Dec. 2013","21000","Gifu-ken","2,199","1,049","1,150","1,723","903","820","1,963","992","971","-240","-89","-151"
"60000","All nationalities","2013001212","Dec. 2013","22000","Shizuoka-ken","5,462","2,776","2,686","2,934","1,636","1,298","3,238","1,858","1,380","-304","-222","-82"
"60000","All nationalities","2013001212","Dec. 2013","23000","Aichi-ken","15,569","8,157","7,412","6,328","3,604","2,724","6,169","3,548","2,621","159","56","103"
"60000","All nationalities","2013001212","Dec. 2013","24000","Mie-ken","1,793","884","909","1,769","993","776","1,867","1,038","829","-98","-45","-53"
"60000","All nationalities","2013001212","Dec. 2013","25000","Shiga-ken","1,780","922","858","1,713","917","796","1,761","1,018","743","-48","-101","53"
"60000","All nationalities","2013001212","Dec. 2013","26000","Kyoto-fu","4,104","1,929","2,175","3,061","1,611","1,450","3,452","1,726","1,726","-391","-115","-276"
"60000","All nationalities","2013001212","Dec. 2013","27000","Osaka-fu","18,517","9,359","9,158","9,077","4,721","4,356","9,475","5,004","4,471","-398","-283","-115"
"60000","All nationalities","2013001212","Dec. 2013","28000","Hyogo-ken","8,269","4,018","4,251","5,419","2,812","2,607","5,523","2,905","2,618","-104","-93","-11"
"60000","All nationalities","2013001212","Dec. 2013","29000","Nara-ken","1,499","734","765","1,503","767","736","1,694","792","902","-191","-25","-166"
"60000","All nationalities","2013001212","Dec. 2013","30000","Wakayama-ken","784","362","422","748","384","364","767","403","364","-19","-19","0"
"60000","All nationalities","2013001212","Dec. 2013","31000","Tottori-ken","457","222","235","511","283","228","459","245","214","52","38","14"
"60000","All nationalities","2013001212","Dec. 2013","32000","Shimane-ken","390","177","213","534","289","245","524","300","224","10","-11","21"
"60000","All nationalities","2013001212","Dec. 2013","33000","Okayama-ken","2,478","1,172","1,306","1,533","827","706","1,608","858","750","-75","-31","-44"
"60000","All nationalities","2013001212","Dec. 2013","34000","Hiroshima-ken","4,126","2,074","2,052","2,327","1,314","1,013","2,466","1,380","1,086","-139","-66","-73"
"60000","All nationalities","2013001212","Dec. 2013","35000","Yamaguchi-ken","1,166","593","573","1,120","607","513","1,214","651","563","-94","-44","-50"
"60000","All nationalities","2013001212","Dec. 2013","36000","Tokushima-ken","957","459","498","540","296","244","523","283","240","17","13","4"
"60000","All nationalities","2013001212","Dec. 2013","37000","Kagawa-ken","889","413","476","858","498","360","924","497","427","-66","1","-67"
"60000","All nationalities","2013001212","Dec. 2013","38000","Ehime-ken","1,073","492","581","985","528","457","902","460","442","83","68","15"
"60000","All nationalities","2013001212","Dec. 2013","39000","Kochi-ken","770","382","388","487","277","210","441","222","219","46","55","-9"
"60000","All nationalities","2013001212","Dec. 2013","40000","Fukuoka-ken","11,683","5,712","5,971","4,866","2,650","2,216","4,763","2,598","2,165","103","52","51"
"60000","All nationalities","2013001212","Dec. 2013","41000","Saga-ken","698","329","369","933","481","452","920","482","438","13","-1","14"
"60000","All nationalities","2013001212","Dec. 2013","42000","Nagasaki-ken","1,093","526","567","1,195","644","551","1,277","703","574","-82","-59","-23"
"60000","All nationalities","2013001212","Dec. 2013","43000","Kumamoto-ken","3,078","1,490","1,588","1,595","894","701","1,398","701","697","197","193","4"
"60000","All nationalities","2013001212","Dec. 2013","44000","Oita-ken","954","451","503","995","529","466","954","519","435","41","10","31"
