"Nationality Code","Nationality","Time Code","Time","Area Code","Area","Both sexes Intra Prefectural","Male Intra Prefectural","Female Intra Prefectural","Both sexes enter the prefecture","Male enter the prefecture","Female enter the prefecture","Both sexes left the prefecture","Male left the prefecture","Female left the prefecture","Both sexes Net Migrations","Male Net Migrations","Female Net Migrations"
"60000","All nationalities","2014001212","Dec. 2014","00000","Japan","202,789","101,597","101,192","134,113","72,448","61,665","134,113","72,448","61,665","0","0","0"
"60000","All nationalities","2014001212","Dec. 2014","01000","Hokkaido","11,264","5,597","5,667","2,314","1,347","967","2,403","1,305","1,098","-89","42","-131"
"60000","All nationalities","2014001212","Dec. 2014","02000","Aomori-ken","1,021","487","534","836","471","365","927","507","420","-91","-36","-55"
"60000","All nationalities","2014001212","Dec. 2014","03000","Iwate-ken","1,128","549","579","829","460","369","918","484","434","-89","-24","-65"
"60000","All nationalities","2014001212","Dec. 2014","04000","Miyagi-ken","4,465","2,132","2,333","2,226","1,325","901","2,164","1,266","898","62","59","3"
"60000","All nationalities","2014001212","Dec. 2014","05000","Akita-ken","588","262","326","529","299","230","580","318","262","-51","-19","-32"
"60000","All nationalities","2014001212","Dec. 2014","06000","Yamagata-ken","858","383","475","558","314","244","678","363","315","-120","-49","-71"
"60000","All nationalities","2014001212","Dec. 2014","07000","Fukushima-ken","1,612","797","815","1,531","1,006","525","1,544","857","687","-13","149","-162"
"60000","All nationalities","2014001212","Dec. 2014","08000","Ibaraki-ken","3,427","1,788","1,639","2,928","1,627","1,301","2,994","1,664","1,330","-66","-37","-29"
"60000","All nationalities","2014001212","Dec. 2014","09000","Tochigi-ken","1,689","824","865","1,979","1,143","836","2,013","1,147","866","-34","-4","-30"
"60000","All nationalities","2014001212","Dec. 2014","10000","Gumma-ken","2,090","1,056","1,034","1,786","1,027","759","1,648","927","721","138","100","38"
"60000","All nationalities","2014001212","Dec. 2014","11000","Saitama-ken","11,172","5,649","5,523","10,887","5,854","5,033","10,270","5,535","4,735","617","319","298"
"60000","All nationalities","2014001212","Dec. 2014","12000","Chiba-ken","9,493","4,822","4,671","8,860","4,787","4,073","9,037","4,876","4,161","-177","-89","-88"
"60000","All nationalities","2014001212","Dec. 2014","13000","Tokyo-to","35,115","18,061","17,054","25,491","13,394","12,097","23,217","12,378","10,839","2,274","1,016","1,258"
"60000","All nationalities","2014001212","Dec. 2014","14000","Kanagawa-ken","17,717","9,107","8,610","12,987","6,847","6,140","13,449","7,336","6,113","-462","-489","27"
"60000","All nationalities","2014001212","Dec. 2014","15000","Niigata-ken","2,304","1,108","1,196","1,087","617","470","1,204","667","537","-117","-50","-67"
"60000","All nationalities","2014001212","Dec. 2014","16000","Toyama-ken","790","382","408","641","349","292","638","383","255","3","-34","37"
"60000","All nationalities","2014001212","Dec. 2014","17000","Ishikawa-ken","1,085","530","555","834","468","366","771","439","332","63","29","34"
"60000","All nationalities","2014001212","Dec. 2014","18000","Fukui-ken","571","266","305","448","260","188","528","293","235","-80","-33","-47"
"60000","All nationalities","2014001212","Dec. 2014","19000","Yamanashi-ken","1,122","534","588","755","407","348","877","465","412","-122","-58","-64"
"60000","All nationalities","2014001212","Dec. 2014","20000","Nagano-ken","2,343","1,094","1,249","1,582","836","746","1,602","855","747","-20","-19","-1"
"60000","All nationalities","2014001212","Dec. 2014","21000","Gifu-ken","2,021","983","1,038","1,621","884","737","1,891","939","952","-270","-55","-215"
"60000","All nationalities","2014001212","Dec. 2014","22000","Shizuoka-ken","5,223","2,684","2,539","2,881","1,611","1,270","3,262","1,811","1,451","-381","-200","-181"
"60000","All nationalities","2014001212","Dec. 2014","23000","Aichi-ken","15,182","8,072","7,110","6,382","3,605","2,777","6,093","3,429","2,664","289","176","113"
"60000","All nationalities","2014001212","Dec. 2014","24000","Mie-ken","1,763","867","896","1,783","1,012","771","1,927","1,065","862","-144","-53","-91"
"60000","All nationalities","2014001212","Dec. 2014","25000","Shiga-ken","1,530","777","753","1,555","847","708","1,547","852","695","8","-5","13"
"60000","All nationalities","2014001212","Dec. 2014","26000","Kyoto-fu","4,210","2,069","2,141","3,132","1,630","1,502","3,489","1,791","1,698","-357","-161","-196"
"60000","All nationalities","2014001212","Dec. 2014","27000","Osaka-fu","17,773","8,846","8,927","8,779","4,558","4,221","9,170","4,942","4,228","-391","-384","-7"
"60000","All nationalities","2014001212","Dec. 2014","28000","Hyogo-ken","7,939","3,868","4,071","5,051","2,566","2,485","5,516","2,878","2,638","-465","-312","-153"
"60000","All nationalities","2014001212","Dec. 2014","29000","Nara-ken","1,600","749","851","1,628","807","821","1,635","805","830","-7","2","-9"
"60000","All nationalities","2014001212","Dec. 2014","30000","Wakayama-ken","765","365","400","696","373","323","757","386","371","-61","-13","-48"
"60000","All nationalities","2014001212","Dec. 2014","31000","Tottori-ken","383","181","202","437","224","213","453","244","209","-16","-20","4"
"60000","All nationalities","2014001212","Dec. 2014","32000","Shimane-ken","353","160","193","559","298","261","541","283","258","18","15","3"
"60000","All nationalities","2014001212","Dec. 2014","33000","Okayama-ken","2,538","1,248","1,290","1,602","833","769","1,457","785","672","145","48","97"
"60000","All nationalities","2014001212","Dec. 2014","34000","Hiroshima-ken","4,154","2,108","2,046","2,272","1,313","959","2,556","1,420","1,136","-284","-107","-177"
"60000","All nationalities","2014001212","Dec. 2014","35000","Yamaguchi-ken","1,229","616","613","1,051","591","460","1,386","790","596","-335","-199","-136"
"60000","All nationalities","2014001212","Dec. 2014","36000","Tokushima-ken","744","319","425","465","258","207","473","262","211","-8","-4","-4"
"60000","All nationalities","2014001212","Dec. 2014","37000","Kagawa-ken","779","378","401","888","473","415","817","442","375","71","31","40"
"60000","All nationalities","2014001212","Dec. 2014","38000","Ehime-ken","1,059","483","576","915","467","448","1,013","542","471","-98","-75","-23"
"60000","All nationalities","2014001212","Dec. 2014","39000","Kochi-ken","643","306","337","438","251","187","467","230","237","-29","21","-50"
"60000","All nationalities","2014001212","Dec. 2014","40000","Fukuoka-ken","11,144","5,479","5,665","4,754","2,583","2,171","4,488","2,404","2,084","266","179","87"
"60000","All nationalities","2014001212","Dec. 2014","41000","Saga-ken","749","342","407","887","458","429","931","475","456","-44","-17","-27"
"60000","All nationalities","2014001212","Dec. 2014","42000","Nagasaki-ken","1,216","586","630","1,103","597","506","1,159","600","559","-56","-3","-53"
"60000","All nationalities","2014001212","Dec. 2014","43000","Kumamoto-ken","3,124","1,444","1,680","1,344","728","616","1,301","687","614","43","41","2"
"60000","All nationalities","2014001212","Dec. 2014","44000","Oita-ken","985","478","507","1,078","594","484","974","526","448","104","68","36"
"60000","All nationalities","2014001212","Dec. 2014","45000","Miyazaki-ken","1,022","480","542","981","521","460","906","501","405","75","20","55"
"60000","All nationalities","2014001212","Dec. 2014","46000","Kagoshima-ken","1,614","752","862","1,464","795","669","1,174","598","576","290","197","93"
"60000","All nationalities","2014001212","Dec. 2014","47000","Okinawa-ken","3,193","1,529","1,664","1,279","733","546","1,268","696","572","11","37","-26"
"60000","All nationalities","2014001212","Dec. 2014","48000","Tokyo-Area","***","***","***","***","***","***","***","***","***","***","***","***"
"60000","All nationalities","2014001212","Dec. 2014","49000","Nagoya-Area","***","***","***","***","***","***","***","***","***","***","***","***"
"60000","All nationalities","2014001212","Dec. 2014","50000","Osaka-Area","***","***","***","***","***","***","***","***","***","***","***","***"
"60000","All nationalities","2014001212","Dec. 2014","00416","Total of 21 major cities","64,052","32,311","31,741","77,824","40,788","37,036","76,549","40,460","36,089","1,275","328","947"
