"Nationality Code","Nationality","Time Code","Time","Area Code","Area","Both sexes Intra Prefectural","Male Intra Prefectural","Female Intra Prefectural","Both sexes enter the prefecture","Male enter the prefecture","Female enter the prefecture","Both sexes left the prefecture","Male left the prefecture","Female left the prefecture","Both sexes Net Migrations","Male Net Migrations","Female Net Migrations"
"61000","Japanese","2018000303","Mar. 2018","10000","Gumma-ken","4,314","2,240","2,074","4,877","2,833","2,044","6,851","3,662","3,189","-1,974","-829","-1,145"
"61000","Japanese","2018000303","Mar. 2018","11000","Saitama-ken","17,857","9,064","8,793","31,181","16,414","14,767","24,808","13,325","11,483","6,373","3,089","3,284"
"61000","Japanese","2018000303","Mar. 2018","12000","Chiba-ken","16,980","8,608","8,372","29,080","15,440","13,640","23,131","12,536","10,595","5,949","2,904","3,045"
"61000","Japanese","2018000303","Mar. 2018","13000","Tokyo-to","48,988","24,399","24,589","92,204","46,562","45,642","52,345","28,307","24,038","39,859","18,255","21,604"
"61000","Japanese","2018000303","Mar. 2018","14000","Kanagawa-ken","27,590","13,952","13,638","46,024","24,658","21,366","32,592","17,638","14,954","13,432","7,020","6,412"
"61000","Japanese","2018000303","Mar. 2018","15000","Niigata-ken","6,712","3,442","3,270","4,199","2,365","1,834","7,384","3,776","3,608","-3,185","-1,411","-1,774"
"61000","Japanese","2018000303","Mar. 2018","16000","Toyama-ken","1,776","991","785","2,395","1,409","986","2,987","1,604","1,383","-592","-195","-397"
"61000","Japanese","2018000303","Mar. 2018","17000","Ishikawa-ken","2,421","1,257","1,164","3,513","2,080","1,433","4,474","2,585","1,889","-961","-505","-456"
"61000","Japanese","2018000303","Mar. 2018","18000","Fukui-ken","1,613","926","687","1,694","992","702","2,493","1,313","1,180","-799","-321","-478"
"61000","Japanese","2018000303","Mar. 2018","19000","Yamanashi-ken","2,432","1,305","1,127","2,294","1,300","994","3,642","1,813","1,829","-1,348","-513","-835"
"61000","Japanese","2018000303","Mar. 2018","20000","Nagano-ken","8,145","4,241","3,904","5,211","2,988","2,223","7,324","3,737","3,587","-2,113","-749","-1,364"
"61000","Japanese","2018000303","Mar. 2018","21000","Gifu-ken","4,497","2,300","2,197","4,819","2,718","2,101","6,569","3,417","3,152","-1,750","-699","-1,051"
"61000","Japanese","2018000303","Mar. 2018","22000","Shizuoka-ken","10,968","5,665","5,303","10,135","5,824","4,311","13,563","7,374","6,189","-3,428","-1,550","-1,878"
"61000","Japanese","2018000303","Mar. 2018","23000","Aichi-ken","27,166","14,155","13,011","22,965","13,063","9,902","21,545","11,964","9,581","1,420","1,099","321"
"61000","Japanese","2018000303","Mar. 2018","24000","Mie-ken","3,833","1,996","1,837","4,910","2,802","2,108","6,368","3,455","2,913","-1,458","-653","-805"
"61000","Japanese","2018000303","Mar. 2018","25000","Shiga-ken","2,914","1,560","1,354","4,774","2,645","2,129","5,267","2,940","2,327","-493","-295","-198"
"61000","Japanese","2018000303","Mar. 2018","26000","Kyoto-fu","6,974","3,511","3,463","11,148","5,725","5,423","11,558","6,271","5,287","-410","-546","136"
"61000","Japanese","2018000303","Mar. 2018","27000","Osaka-fu","26,469","13,116","13,353","30,324","15,039","15,285","27,722","15,058","12,664","2,602","-19","2,621"
"61000","Japanese","2018000303","Mar. 2018","28000","Hyogo-ken","14,150","6,924","7,226","17,154","8,816","8,338","18,915","10,152","8,763","-1,761","-1,336","-425"
"61000","Japanese","2018000303","Mar. 2018","29000","Nara-ken","2,195","1,036","1,159","4,304","2,177","2,127","5,003","2,657","2,346","-699","-480","-219"
"61000","Japanese","2018000303","Mar. 2018","30000","Wakayama-ken","1,723","877","846","1,986","1,084","902","3,096","1,571","1,525","-1,110","-487","-623"
"61000","Japanese","2018000303","Mar. 2018","31000","Tottori-ken","1,038","523","515","1,571","867","704","2,596","1,389","1,207","-1,025","-522","-503"
"61000","Japanese","2018000303","Mar. 2018","32000","Shimane-ken","1,947","1,069","878","2,018","1,070","948","2,837","1,430","1,407","-819","-360","-459"
"61000","Japanese","2018000303","Mar. 2018","33000","Okayama-ken","5,865","2,974","2,891","5,767","3,122","2,645","6,946","3,605","3,341","-1,179","-483","-696"
"61000","Japanese","2018000303","Mar. 2018","34000","Hiroshima-ken","9,317","4,716","4,601","9,399","5,234","4,165","10,749","5,862","4,887","-1,350","-628","-722"
"61000","Japanese","2018000303","Mar. 2018","35000","Yamaguchi-ken","3,005","1,604","1,401","3,717","2,142","1,575","5,407","2,865","2,542","-1,690","-723","-967"
"61000","Japanese","2018000303","Mar. 2018","36000","Tokushima-ken","1,694","840","854","1,686","932","754","2,697","1,320","1,377","-1,011","-388","-623"
"61000","Japanese","2018000303","Mar. 2018","37000","Kagawa-ken","2,094","999","1,095","3,703","2,097","1,606","4,197","2,173","2,024","-494","-76","-418"
"61000","Japanese","2018000303","Mar. 2018","38000","Ehime-ken","3,105","1,569","1,536","3,431","1,853","1,578","5,039","2,562","2,477","-1,608","-709","-899"
"61000","Japanese","2018000303","Mar. 2018","39000","Kochi-ken","2,025","1,066","959","1,680","885","795","2,944","1,476","1,468","-1,264","-591","-673"
"61000","Japanese","2018000303","Mar. 2018","40000","Fukuoka-ken","22,160","10,681","11,479","20,891","10,734","10,157","20,377","11,000","9,377","514","-266","780"
"61000","Japanese","2018000303","Mar. 2018","41000","Saga-ken","1,891","962","929","3,025","1,602","1,423","3,908","1,970","1,938","-883","-368","-515"
"61000","Japanese","2018000303","Mar. 2018","42000","Nagasaki-ken","5,670","2,967","2,703","4,856","2,708","2,148","7,250","3,641","3,609","-2,394","-933","-1,461"
"61000","Japanese","2018000303","Mar. 2018","43000","Kumamoto-ken","6,656","3,254","3,402","5,135","2,819","2,316","7,548","3,905","3,643","-2,413","-1,086","-1,327"
"61000","Japanese","2018000303","Mar. 2018","44000","Oita-ken","3,204","1,680","1,524","3,222","1,771","1,451","4,808","2,509","2,299","-1,586","-738","-848"
"61000","Japanese","2018000303","Mar. 2018","45000","Miyazaki-ken","3,082","1,588","1,494","3,280","1,768","1,512","5,166","2,638","2,528","-1,886","-870","-1,016"
"61000","Japanese","2018000303","Mar. 2018","46000","Kagoshima-ken","6,524","3,184","3,340","4,753","2,575","2,178","7,249","3,632","3,617","-2,496","-1,057","-1,439"
"61000","Japanese","2018000303","Mar. 2018","47000","Okinawa-ken","7,138","3,436","3,702","4,484","2,390","2,094","6,363","3,320","3,043","-1,879","-930","-949"
"61000","Japanese","2018000303","Mar. 2018","48000","Tokyo-Area","181,789","92,580","89,209","128,115","66,517","61,598","62,502","35,249","27,253","65,613","31,268","34,345"
"61000","Japanese","2018000303","Mar. 2018","49000","Nagoya-Area","43,919","22,922","20,997","24,271","14,112","10,159","26,059","14,365","11,694","-1,788","-253","-1,535"
"61000","Japanese","2018000303","Mar. 2018","50000","Osaka-Area","69,877","34,652","35,225","42,841","21,692","21,149","43,109","24,073","19,036","-268","-2,381","2,113"
"61000","Japanese","2018000303","Mar. 2018","00416","Total of 21 major cities","87,764","43,398","44,366","255,134","130,044","125,090","198,643","105,593","93,050","56,491","24,451","32,040"
"61000","Japanese","2018000303","Mar. 2018","01100","Sapporo-shi","6,807","3,215","3,592","12,915","6,538","6,377","10,682","5,793","4,889","2,233","745","1,488"
"61000","Japanese","2018000303","Mar. 2018","04100","Sendai-shi","2,665","1,291","1,374","8,765","4,383","4,382","8,735","4,623","4,112","30","-240","270"
"61000","Japanese","2018000303","Mar. 2018","11100","Saitama-shi","2,077","1,053","1,024","9,733","5,140","4,593","6,981","3,772","3,209","2,752","1,368","1,384"
"61000","Japanese","2018000303","Mar. 2018","12100","Chiba-shi","1,365","698","667","6,819","3,546","3,273","5,388","2,858","2,530","1,431","688","743"
"61000","Japanese","2018000303","Mar. 2018","13100","Ku-area of Tokyo","28,387","14,097","14,290","76,319","38,229","38,090","43,149","22,956","20,193","33,170","15,273","17,897"
"61000","Japanese","2018000303","Mar. 2018","14100","Yokohama-shi","8,194","4,082","4,112","23,647","12,388","11,259","17,625","9,271","8,354","6,022","3,117","2,905"
"61000","Japanese","2018000303","Mar. 2018","14130","Kawasaki-shi","1,861","950","911","14,949","8,004","6,945","9,796","5,184","4,612","5,153","2,820","2,333"
"61000","Japanese","2018000303","Mar. 2018","14150","Sagamihara-shi","529","265","264","4,290","2,160","2,130","3,821","2,007","1,814","469","153","316"
"61000","Japanese","2018000303","Mar. 2018","15100","Niigata-shi","1,532","732","800","3,823","1,979","1,844","4,249","2,255","1,994","-426","-276","-150"
"61000","Japanese","2018000303","Mar. 2018","22100","Shizuoka-shi","856","435","421","3,489","1,866","1,623","3,813","2,075","1,738","-324","-209","-115"
"61000","Japanese","2018000303","Mar. 2018","22130","Hamamatsu-shi","1,704","864","840","3,214","1,813","1,401","3,968","2,160","1,808","-754","-347","-407"
"61000","Japanese","2018000303","Mar. 2018","23100","Nagoya-shi","6,073","3,098","2,975","15,121","7,861","7,260","13,878","7,424","6,454","1,243","437","806"
"61000","Japanese","2018000303","Mar. 2018","26100","Kyoto-shi","2,988","1,511","1,477","8,762","4,369","4,393","8,108","4,256","3,852","654","113","541"
"61000","Japanese","2018000303","Mar. 2018","27100","Osaka-shi","6,487","3,263","3,224","17,124","8,437","8,687","12,921","6,812","6,109","4,203","1,625","2,578"
"61000","Japanese","2018000303","Mar. 2018","27140","Sakai-shi","1,151","572","579","3,525","1,802","1,723","3,813","2,000","1,813","-288","-198","-90"
"61000","Japanese","2018000303","Mar. 2018","28100","Kobe-shi","2,814","1,345","1,469","7,594","3,691","3,903","7,339","3,936","3,403","255","-245","500"
"61000","Japanese","2018000303","Mar. 2018","33100","Okayama-shi","1,285","656","629","4,495","2,334","2,161","4,586","2,418","2,168","-91","-84","-7"
"61000","Japanese","2018000303","Mar. 2018","34100","Hiroshima-shi","2,919","1,436","1,483","7,195","3,806","3,389","7,108","3,846","3,262","87","-40","127"
"61000","Japanese","2018000303","Mar. 2018","40100","Kitakyushu-shi","1,937","943","994","4,743","2,577","2,166","5,448","2,897","2,551","-705","-320","-385"
"61000","Japanese","2018000303","Mar. 2018","40130","Fukuoka-shi","4,403","2,101","2,302","13,797","6,559","7,238","11,900","6,218","5,682","1,897","341","1,556"
